list_date,market,industry,代號,名稱
1962-02-09,上市,水泥工業,1101,台泥
1962-06-08,上市,水泥工業,1102,亞泥
1969-11-14,上市,水泥工業,1103,嘉泥
1971-02-01,上市,水泥工業,1104,環泥
1990-06-06,上市,水泥工業,1108,幸福
1991-12-05,上市,水泥工業,1109,信大
1994-10-22,上市,水泥工業,1110,東泥
1962-02-09,上市,食品工業,1201,味全
1964-08-24,上市,食品工業,1203,味王
1978-05-20,上市,食品工業,1210,大成
1981-04-10,上市,食品工業,1213,大飲
1987-07-27,上市,食品工業,1215,卜蜂
1987-12-28,上市,食品工業,1216,統一
1989-10-28,上市,食品工業,1217,愛之味
1989-11-11,上市,食品工業,1218,泰山
1990-12-01,上市,食品工業,1219,福壽
1991-11-20,上市,食品工業,1220,台榮
1993-09-27,上市,食品工業,1225,福懋油
1994-04-09,上市,食品工業,1227,佳格
1976-07-19,上市,食品工業,1229,聯華
1995-11-02,上市,食品工業,1231,聯華食
1996-02-09,上市,食品工業,1232,大統益
1999-01-20,上市,食品工業,1233,天仁
1999-03-12,上市,食品工業,1234,黑松
2000-09-11,上市,食品工業,1235,興泰
2001-09-17,上市,食品工業,1236,宏亞
2016-03-17,上市,食品工業,1256,鮮活果汁-KY
1964-07-27,上市,塑膠工業,1301,台塑
1967-11-05,上市,塑膠工業,1303,南亞
1972-05-20,上市,塑膠工業,1304,台聚
1973-03-05,上市,塑膠工業,1305,華夏
1985-11-23,上市,塑膠工業,1307,三芳
1986-06-20,上市,塑膠工業,1308,亞聚
1986-06-27,上市,塑膠工業,1309,台達化
1987-08-06,上市,塑膠工業,1310,台苯
1988-12-21,上市,塑膠工業,1312,國喬
1989-03-27,上市,塑膠工業,1313,聯成
1991-07-12,上市,塑膠工業,1314,中石化
1992-05-09,上市,塑膠工業,1315,達新
1992-10-15,上市,建材營造業,1316,上曜
1994-12-12,上市,汽車工業,1319,東陽
1999-01-26,上市,塑膠工業,1321,大洋
2000-09-11,上市,塑膠工業,1323,永裕
2000-09-11,上市,塑膠工業,1324,地球
2000-09-11,上市,塑膠工業,1325,恆大
1984-12-20,上市,塑膠工業,1326,台化
2011-07-01,上市,塑膠工業,1337,再生-KY
2012-12-19,上市,汽車工業,1338,廣華-KY
2012-04-24,上市,汽車工業,1339,昭輝
2013-12-06,上市,塑膠工業,1340,勝悅-KY
2018-12-24,上市,塑膠工業,1341,富林-KY
2020-11-24,上市,其他業,1342,八貫
1967-04-14,上市,紡織纖維,1402,遠東新
1973-08-31,上市,紡織纖維,1409,新纖
1973-10-18,上市,紡織纖維,1410,南染
1975-12-23,上市,紡織纖維,1413,宏洲
1976-02-02,上市,紡織纖維,1414,東和
1976-04-20,上市,其他業,1416,廣豐
1976-12-28,上市,紡織纖維,1417,嘉裕
1977-02-14,上市,紡織纖維,1418,東華
1977-03-14,上市,紡織纖維,1419,新紡
1979-04-02,上市,紡織纖維,1423,利華
1982-07-26,上市,運動休閒,1432,大魯閣
1985-12-24,上市,紡織纖維,1434,福懋
1987-12-28,上市,其他業,1435,中福
1988-04-11,上市,建材營造業,1436,華友聯
1988-11-10,上市,其他業,1437,勤益控
1988-12-15,上市,建材營造業,1438,三地開發
1989-05-22,上市,建材營造業,1439,雋揚
1989-10-03,上市,紡織纖維,1440,南紡
1989-10-27,上市,紡織纖維,1441,大東
1989-11-16,上市,建材營造業,1442,名軒
1990-04-21,上市,其他業,1443,立益物流
1990-08-08,上市,紡織纖維,1444,力麗
1991-02-05,上市,紡織纖維,1445,大宇
1991-10-15,上市,紡織纖維,1446,宏和
1992-01-28,上市,紡織纖維,1447,力鵬
1992-03-12,上市,紡織纖維,1449,佳和
1992-12-21,上市,紡織纖維,1451,年興
1992-12-28,上市,紡織纖維,1452,宏益
1993-04-19,上市,建材營造業,1453,大將
1993-05-07,上市,紡織纖維,1454,台富
1993-10-07,上市,紡織纖維,1455,集盛
1993-12-09,上市,建材營造業,1456,怡華
1994-10-20,上市,紡織纖維,1457,宜進
1994-10-26,上市,紡織纖維,1459,聯發
1995-04-28,上市,紡織纖維,1460,宏遠
1996-12-05,上市,紡織纖維,1463,強盛新
1997-01-18,上市,紡織纖維,1464,得力
1997-09-08,上市,紡織纖維,1465,偉全
1998-04-04,上市,紡織纖維,1466,聚隆
1998-12-21,上市,紡織纖維,1467,南緯
1999-01-21,上市,紡織纖維,1468,昶和
1999-05-21,上市,紡織纖維,1470,大統新創
2000-03-06,上市,電子零組件業,1471,首利
2000-09-11,上市,建材營造業,1472,三洋實業
2000-09-11,上市,紡織纖維,1473,台南
2000-10-31,上市,紡織纖維,1474,弘裕
2000-10-27,上市,紡織纖維,1475,業旺
2001-04-18,上市,紡織纖維,1476,儒鴻
2003-01-21,上市,紡織纖維,1477,聚陽
1969-12-15,上市,電機機械,1503,士電
1973-11-05,上市,電機機械,1504,東元
1980-08-11,上市,電機機械,1506,正道
1994-01-28,上市,汽車工業,1512,瑞利
1994-03-08,上市,電機機械,1513,中興電
1994-03-26,上市,電機機械,1514,亞力
1995-02-04,上市,電機機械,1515,力山
1995-04-01,上市,其他業,1516,川飛
1995-11-14,上市,電機機械,1517,利奇
1997-04-16,上市,電機機械,1519,華城
1997-10-06,上市,汽車工業,1521,大億
1997-10-06,上市,汽車工業,1522,堤維西
1998-10-30,上市,汽車工業,1524,耿鼎
1999-05-15,上市,汽車工業,1525,江申
2000-03-27,上市,電機機械,1526,日馳
2000-06-21,上市,電機機械,1527,鑽全
2000-09-11,上市,電機機械,1528,恩德
2000-09-11,上市,電機機械,1529,樂事綠能
2000-09-11,上市,電機機械,1530,亞崴
2000-09-11,上市,電機機械,1531,高林股
2000-09-11,上市,電機機械,1532,勤美
2001-04-06,上市,汽車工業,1533,車王電
2001-09-17,上市,電機機械,1535,中宇
2001-09-17,上市,汽車工業,1536,和大
2002-01-22,上市,電機機械,1537,廣隆
2002-08-26,上市,電機機械,1538,正峰
2002-10-29,上市,電機機械,1539,巨庭
2002-08-26,上市,電機機械,1540,喬福
2003-03-19,上市,電機機械,1541,錩泰
2014-12-23,上市,電機機械,1558,伸興
2005-01-31,上市,電機機械,1560,中砂
2024-05-13,上市,汽車工業,1563,巧新
2014-05-14,上市,汽車工業,1568,倉佑
2009-12-17,上市,電子零組件業,1582,信錦
2008-01-24,上市,電機機械,1583,程泰
2018-04-16,上市,汽車工業,1587,吉茂
2012-04-27,上市,電機機械,1589,永冠-KY
2010-12-13,上市,電機機械,1590,亞德客-KY
2020-12-23,上市,電機機械,1597,直得
2016-09-20,上市,運動休閒,1598,岱宇
1968-06-03,上市,電器電纜,1603,華電
1970-12-14,上市,電器電纜,1604,聲寶
1972-11-03,上市,電器電纜,1605,華新
1988-07-11,上市,電器電纜,1608,華榮
1988-12-12,上市,電器電纜,1609,大亞
1990-01-16,上市,電器電纜,1611,中電
1993-05-08,上市,電器電纜,1612,宏泰
1997-09-18,上市,電器電纜,1614,三洋電
2000-03-30,上市,電器電纜,1615,大山
2000-09-11,上市,電器電纜,1616,億泰
2000-09-11,上市,電器電纜,1617,榮星
2000-09-11,上市,電器電纜,1618,合機
2013-03-21,上市,電器電纜,1626,艾美特-KY
1973-05-30,上市,食品工業,1702,南僑
1982-12-20,上市,生技醫療業,1707,葡萄王
1986-06-16,上市,化學工業,1708,東鹼
1986-07-03,上市,化學工業,1709,和益
1987-10-21,上市,化學工業,1710,東聯
1988-12-27,上市,化學工業,1711,永光
1989-12-14,上市,化學工業,1712,興農
1990-01-31,上市,化學工業,1713,國化
1991-08-30,上市,化學工業,1714,和桐
1994-03-31,上市,化學工業,1717,長興
1963-12-02,上市,化學工業,1718,中纖
1995-12-12,上市,生技醫療業,1720,生達
1996-05-16,上市,化學工業,1721,三晃
1998-03-24,上市,化學工業,1722,台肥
1998-11-27,上市,化學工業,1723,中碳
2000-09-11,上市,化學工業,1725,元禎
2000-09-11,上市,化學工業,1726,永記
2000-09-11,上市,化學工業,1727,中華化
2001-09-17,上市,化學工業,1730,花仙子
2001-09-17,上市,生技醫療業,1731,美吾華
2001-09-17,上市,化學工業,1732,毛寶
2001-09-17,上市,生技醫療業,1733,五鼎
2002-08-26,上市,生技醫療業,1734,杏輝
2002-08-26,上市,化學工業,1735,日勝化
2003-01-09,上市,運動休閒,1736,喬山
2003-11-18,上市,食品工業,1737,臺鹽
2022-01-19,上市,生技醫療業,1752,南光
2018-01-23,上市,生技醫療業,1760,寶齡富錦
2010-12-20,上市,生技醫療業,1762,中化生
2009-02-27,上市,化學工業,1773,勝一
2016-05-09,上市,化學工業,1776,展宇
2013-12-20,上市,生技醫療業,1783,和康生
2013-11-12,上市,生技醫療業,1786,科妍
2011-09-29,上市,生技醫療業,1789,神隆
2019-12-16,上市,生技醫療業,1795,美時
1973-07-20,上市,玻璃陶瓷,1802,台玻
1989-10-20,上市,建材營造業,1805,寶徠
1992-09-29,上市,玻璃陶瓷,1806,冠軍
1994-10-26,上市,建材營造業,1808,潤隆
1996-04-30,上市,玻璃陶瓷,1809,中釉
1991-10-14,上市,玻璃陶瓷,1810,和成
2013-10-24,上市,玻璃陶瓷,1817,凱撒衛
1963-12-09,上市,造紙工業,1903,士紙
1971-09-10,上市,造紙工業,1904,正隆
1975-02-07,上市,造紙工業,1905,華紙
1976-04-26,上市,造紙工業,1906,寶隆
1977-02-22,上市,造紙工業,1907,永豐餘
1985-11-19,上市,造紙工業,1909,榮成
1974-12-26,上市,鋼鐵工業,2002,中鋼
1988-07-13,上市,鋼鐵工業,2006,東和鋼鐵
1988-10-04,上市,鋼鐵工業,2007,燁興
1988-12-28,上市,鋼鐵工業,2008,高興昌
1989-10-20,上市,鋼鐵工業,2009,第一銅
1989-12-22,上市,鋼鐵工業,2010,春源
1991-10-17,上市,鋼鐵工業,2012,春雨
1992-01-21,上市,鋼鐵工業,2013,中鋼構
1992-02-20,上市,鋼鐵工業,2014,中鴻
1992-05-25,上市,鋼鐵工業,2015,豐興
1992-11-02,上市,鋼鐵工業,2017,官田鋼
1993-04-27,上市,鋼鐵工業,2020,美亞
1995-03-27,上市,鋼鐵工業,2022,聚亨
1995-07-28,上市,鋼鐵工業,2023,燁輝
1995-12-30,上市,鋼鐵工業,2024,志聯
1996-02-08,上市,鋼鐵工業,2025,千興
1996-10-24,上市,鋼鐵工業,2027,大成鋼
1996-12-13,上市,鋼鐵工業,2028,威致
1997-01-11,上市,鋼鐵工業,2029,盛餘
1998-12-24,上市,鋼鐵工業,2030,彰源
2000-09-11,上市,鋼鐵工業,2031,新光鋼
2000-09-11,上市,鋼鐵工業,2032,新鋼
2000-09-11,上市,鋼鐵工業,2033,佳大
2001-09-17,上市,鋼鐵工業,2034,允強
2008-12-30,上市,鋼鐵工業,2038,海光
2009-06-26,上市,電機機械,2049,上銀
2008-06-25,上市,電子零組件業,2059,川湖
2007-11-16,上市,居家生活,2062,橋椿
2016-03-22,上市,鋼鐵工業,2069,運錩
1963-11-01,上市,橡膠工業,2101,南港
1979-07-16,上市,橡膠工業,2102,泰豐
1982-09-25,上市,橡膠工業,2103,台橡
1986-07-15,上市,橡膠工業,2104,國際中橡
1987-12-07,上市,橡膠工業,2105,正新
1990-12-20,上市,橡膠工業,2106,建大
1992-03-03,上市,橡膠工業,2107,厚生
1992-10-27,上市,橡膠工業,2108,南帝
2000-05-08,上市,橡膠工業,2109,華豐
2010-12-29,上市,橡膠工業,2114,鑫永銓
2013-12-25,上市,汽車工業,2115,六暉-KY
1976-07-08,上市,汽車工業,2201,裕隆
1991-03-12,上市,汽車工業,2204,中華
1996-07-29,上市,汽車工業,2206,三陽工業
1997-02-25,上市,汽車工業,2207,和泰車
2008-12-22,上市,航運業,2208,台船
2021-04-12,上市,鋼鐵工業,2211,長榮鋼
2004-12-21,上市,汽車工業,2227,裕日車
2013-11-25,上市,汽車工業,2228,劍麟
2010-11-19,上市,汽車工業,2231,為升
2019-09-17,上市,汽車工業,2233,宇隆
2015-06-03,上市,汽車工業,2236,百達-KY
2016-01-27,上市,汽車工業,2239,英利-KY
2020-08-26,上市,汽車工業,2241,艾姆勒
2017-09-27,上市,汽車工業,2243,宏旭-KY
2020-10-12,上市,汽車工業,2247,汎德永業
2025-03-13,上市,汽車工業,2248,華勝-KY
2021-05-31,上市,汽車工業,2250,IKKA-KY
1995-11-17,上市,電腦及週邊設備業,2301,光寶科
1985-01-15,上市,半導體業,2302,麗正
1985-07-16,上市,半導體業,2303,聯電
1988-10-21,上市,電腦及週邊設備業,2305,全友
1988-12-19,上市,電子零組件業,2308,台達電
1989-11-07,上市,其他電子業,2312,金寶
1990-07-24,上市,電子零組件業,2313,華通
1990-08-08,上市,通信網路業,2314,台揚
1991-02-05,上市,電子零組件業,2316,楠梓電
1991-06-18,上市,其他電子業,2317,鴻海
1991-11-08,上市,通信網路業,2321,東訊
1992-02-17,上市,光電業,2323,中環
1992-02-18,上市,電腦及週邊設備業,2324,仁寶
1993-10-22,上市,電子零組件業,2327,國巨*
1993-11-09,上市,電子零組件業,2328,廣宇
1994-04-20,上市,半導體業,2329,華泰
1994-09-05,上市,半導體業,2330,台積電
1994-09-21,上市,電腦及週邊設備業,2331,精英
1994-10-17,上市,通信網路業,2332,友訊
1995-03-15,上市,半導體業,2337,旺宏
1995-04-17,上市,半導體業,2338,光罩
1995-05-02,上市,半導體業,2340,台亞
1995-09-19,上市,半導體業,2342,茂矽
1995-10-18,上市,半導體業,2344,華邦電
1995-11-15,上市,通信網路業,2345,智邦
1995-12-13,上市,電子通路業,2347,聯強
1996-01-05,上市,其他業,2348,海悅
1996-04-23,上市,光電業,2349,錸德
1996-04-25,上市,半導體業,2351,順德
1996-07-22,上市,電腦及週邊設備業,2352,佳世達
1996-09-18,上市,電腦及週邊設備業,2353,宏碁
1996-10-08,上市,其他電子業,2354,鴻準
1996-10-14,上市,電子零組件業,2355,敬鵬
1996-11-13,上市,電腦及週邊設備業,2356,英業達
1996-11-14,上市,電腦及週邊設備業,2357,華碩
1996-12-19,上市,其他電子業,2359,所羅門
1996-12-21,上市,其他電子業,2360,致茂
